Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,291.50,294.50,285.00,286.75,49300,286.75
2014-09-30,300.00,301.65,288.00,292.10,65400,292.10
2014-09-29,294.75,305.00,291.25,298.90,111300,298.90
2014-09-26,290.00,299.60,283.20,291.90,120900,291.90
2014-09-25,302.05,308.90,288.00,292.65,118600,292.65
2014-09-24,304.55,311.00,294.00,300.55,121800,300.55
2014-09-23,316.55,328.40,301.00,304.45,255100,304.45
2014-09-22,311.10,324.00,310.00,313.80,98300,313.80
2014-09-19,321.15,328.40,309.55,314.40,224500,314.40
2014-09-18,318.00,337.00,307.85,319.05,519200,319.05
2014-09-17,312.00,330.00,310.00,317.50,607200,317.50
2014-09-16,275.50,320.90,274.30,306.20,1725600,306.20
2014-09-15,240.60,279.70,240.60,270.45,1018100,270.45
2014-09-12,245.00,247.00,232.10,234.50,77900,234.50
2014-09-11,241.00,254.90,240.05,243.75,358400,243.75
2014-09-10,206.70,246.25,206.70,238.70,466300,238.70
2014-09-09,207.00,214.85,207.00,209.65,33200,209.65
2014-09-08,200.00,211.70,199.00,207.35,73900,207.35
2014-09-05,195.90,201.00,195.55,199.70,48300,199.70
2014-09-04,195.30,196.25,193.00,193.50,11600,193.50
2014-09-03,193.70,200.80,193.55,196.50,40400,196.50
2014-09-02,190.05,194.30,190.05,192.05,17700,192.05
2014-09-01,189.25,193.50,189.25,191.65,12700,191.65
2014-08-29,190.30,190.30,190.30,190.30,000,190.30
2014-08-28,194.25,195.25,190.05,190.30,7500,190.30
2014-08-27,190.95,197.45,189.20,191.70,22100,191.70
2014-08-26,191.00,192.00,188.85,189.15,8300,189.15
2014-08-25,193.50,195.65,190.00,190.35,11000,190.35
2014-08-22,195.00,196.45,191.05,191.85,5300,191.85
2014-08-21,196.40,197.70,193.10,195.70,13500,195.70
2014-08-20,191.20,196.00,191.20,194.90,9600,194.90
2014-08-19,190.00,195.00,190.00,192.05,10100,192.05
2014-08-18,183.60,191.95,183.00,189.90,31000,189.90
2014-08-15,183.80,183.80,183.80,183.80,000,183.80
2014-08-14,180.70,185.00,180.70,183.80,13200,183.80
2014-08-13,185.00,188.00,180.95,182.05,16900,182.05
2014-08-12,186.35,186.35,181.10,184.35,8800,184.35
2014-08-11,187.40,187.50,185.00,185.95,6100,185.95
2014-08-08,185.00,191.45,181.35,183.80,13800,183.80
2014-08-07,190.70,190.70,185.10,185.70,11300,185.70
2014-08-06,192.00,193.55,188.25,189.95,14400,189.95
2014-08-05,191.30,193.00,189.00,191.40,12900,191.40
2014-08-04,192.00,195.00,189.00,189.55,27200,189.55
2014-08-01,191.90,195.25,188.00,189.20,22900,189.20
2014-07-31,193.50,196.20,191.75,192.45,22700,192.45
2014-07-30,198.00,201.00,192.30,193.60,32200,193.60
2014-07-29,194.90,194.90,194.90,194.90,000,194.90
2014-07-28,189.45,203.80,188.00,194.90,90100,194.90
2014-07-25,197.15,197.15,187.00,188.55,57000,188.55
2014-07-24,202.25,207.80,187.10,197.40,225800,197.40
2014-07-23,214.40,214.40,199.45,201.00,66700,201.00
2014-07-22,215.05,217.20,210.00,211.85,41900,211.85
2014-07-21,216.60,221.00,213.80,215.70,152600,215.70
2014-07-18,198.00,212.85,198.00,210.15,84700,210.15
2014-07-17,198.30,203.90,195.25,199.85,24300,199.85
2014-07-16,194.65,199.00,193.75,196.00,14200,196.00
2014-07-15,191.10,197.50,184.05,192.45,17800,192.45
2014-07-14,190.00,195.00,188.10,189.45,10800,189.45
2014-07-11,202.55,208.00,188.00,190.05,28700,190.05
2014-07-10,200.00,203.50,193.95,198.80,20500,198.80
2014-07-09,206.00,212.00,197.10,198.40,34500,198.40
2014-07-08,217.40,220.00,201.70,206.00,85800,206.00
2014-07-07,205.90,218.40,205.90,214.50,202700,214.50
2014-07-04,193.00,205.50,191.15,203.15,135900,203.15
2014-07-03,191.25,195.00,190.75,193.00,6600,190.25
2014-07-02,194.80,195.00,188.10,190.25,32600,187.54
2014-07-01,184.05,203.40,183.00,192.85,105500,190.10
2014-06-30,185.00,186.70,182.00,182.75,22700,180.15
2014-06-27,182.50,185.00,181.00,183.05,28600,180.44
2014-06-26,184.25,184.45,180.20,183.05,7900,180.44
2014-06-25,183.50,185.00,181.40,183.05,9600,180.44
2014-06-24,184.40,184.95,181.00,182.15,6700,179.55
2014-06-23,183.55,185.00,181.00,183.75,11100,181.13
2014-06-20,192.00,192.00,183.10,183.85,23800,181.23
2014-06-19,186.00,187.40,182.50,185.65,16900,183.00
2014-06-18,194.75,194.75,182.00,184.80,37200,182.17
2014-06-17,182.30,190.00,182.30,189.25,12200,186.55
2014-06-16,179.90,188.00,179.90,186.35,11700,183.69
2014-06-13,197.90,197.90,175.05,181.95,26600,179.36
2014-06-12,193.30,201.25,189.50,195.05,61000,192.27
2014-06-11,193.65,198.00,190.35,192.15,32000,189.41
2014-06-10,181.10,196.95,180.60,191.65,152400,188.92
2014-06-09,181.45,182.35,179.05,180.25,14400,177.68
2014-06-06,182.00,182.50,179.45,179.65,14100,177.09
2014-06-05,181.30,185.45,179.00,179.80,21100,177.24
2014-06-04,177.65,182.00,177.15,179.95,22300,177.39
2014-06-03,176.00,180.80,173.85,177.40,27900,174.87
2014-06-02,174.00,177.10,172.75,174.85,14200,172.36
2014-05-30,174.45,176.90,171.15,172.10,9200,169.65
2014-05-29,176.00,176.50,174.00,174.50,5200,172.01
2014-05-28,178.30,182.80,176.10,177.05,16400,174.53
2014-05-27,173.20,183.60,170.00,179.20,35000,176.65
2014-05-26,178.00,183.70,166.00,171.70,24900,169.25
2014-05-23,177.00,183.65,175.20,177.60,36100,175.07
2014-05-22,170.00,180.80,169.00,173.85,101000,171.37
2014-05-21,168.40,170.70,167.00,169.75,19900,167.33
2014-05-20,162.50,170.00,162.50,165.95,21400,163.59
2014-05-19,163.55,165.00,160.55,161.85,9400,159.54
2014-05-16,161.05,167.00,161.05,162.00,7500,159.69
2014-05-15,167.00,167.50,162.05,162.90,7100,160.58
2014-05-14,165.95,170.00,165.10,165.50,12200,163.14
2014-05-13,163.95,167.80,161.60,163.45,39500,161.12
2014-05-12,164.90,165.00,160.20,161.20,14200,158.90
2014-05-09,164.15,166.70,162.50,163.40,13500,161.07
2014-05-08,165.70,167.85,163.60,165.70,25100,163.34
2014-05-07,167.50,168.00,165.00,165.70,12200,163.34
2014-05-06,164.60,170.00,164.00,167.30,17400,164.92
2014-05-05,169.85,170.20,165.00,165.70,26100,163.34
2014-05-02,174.00,175.40,166.00,168.50,25400,166.10
2014-05-01,171.90,171.90,171.90,171.90,000,169.45
2014-04-30,177.00,181.35,171.00,171.90,36400,169.45
2014-04-29,179.00,181.80,175.00,175.60,27000,173.10
2014-04-28,175.45,187.00,175.45,178.40,80500,175.86
2014-04-25,190.00,190.00,175.80,176.70,51600,174.18
2014-04-24,193.75,193.75,193.75,193.75,000,190.99
2014-04-23,201.00,201.10,188.10,193.75,158800,190.99
2014-04-22,203.70,203.70,198.10,199.10,12500,196.26
2014-04-21,203.00,203.50,198.35,200.40,26700,197.54
2014-04-18,200.20,200.20,200.20,200.20,000,197.35
2014-04-17,198.70,202.00,193.10,200.20,21600,197.35
2014-04-16,200.20,203.00,195.25,196.70,18700,193.90
2014-04-15,203.00,204.00,197.40,198.70,16400,195.87
2014-04-14,201.05,201.05,201.05,201.05,000,198.19
2014-04-11,196.90,205.20,195.65,201.05,32900,198.19
2014-04-10,200.00,206.95,198.15,200.05,12400,197.20
2014-04-09,207.55,207.55,203.00,203.65,4700,200.75
2014-04-08,205.65,205.65,205.65,205.65,000,202.72
2014-04-07,206.40,207.75,203.00,205.65,7900,202.72
2014-04-04,207.00,210.00,203.00,203.70,19500,200.80
2014-04-03,206.65,209.65,204.10,205.15,17900,202.23
2014-04-02,210.00,210.40,206.20,207.70,20600,204.74
2014-04-01,206.40,213.80,206.05,210.25,40100,207.25
2014-03-31,204.40,210.00,203.70,206.95,12500,204.00
2014-03-28,202.75,207.40,201.20,203.50,28000,200.60
2014-03-27,201.00,205.90,200.00,200.70,27300,197.84
2014-03-26,209.35,210.15,199.00,201.40,25100,198.53
2014-03-25,208.00,210.40,203.20,206.80,16600,203.85
2014-03-24,213.00,213.45,206.55,207.35,23200,204.40
2014-03-21,214.50,216.00,208.20,209.15,34200,206.17
2014-03-20,210.50,224.00,209.10,213.70,198300,210.66
2014-03-19,211.35,211.90,207.50,208.75,29200,205.78
2014-03-18,208.95,215.00,207.55,208.75,38800,205.78
2014-03-17,208.60,208.60,208.60,208.60,000,205.63
2014-03-14,209.80,214.50,207.40,208.60,37300,205.63
2014-03-13,208.40,226.40,205.00,210.05,121900,207.06
2014-03-12,211.85,213.70,209.00,209.15,13200,206.17
2014-03-11,211.60,214.60,209.90,210.75,44900,207.75
2014-03-10,210.00,214.80,206.30,210.10,51700,207.11
2014-03-07,211.00,216.95,207.35,210.15,62600,207.16
2014-03-06,220.40,221.00,215.65,216.70,37400,213.61
2014-03-05,221.20,227.90,218.00,219.15,129900,216.03
2014-03-04,207.00,225.50,206.00,218.55,285400,215.44
2014-03-03,210.00,211.00,203.05,205.75,43700,202.82
2014-02-28,210.60,213.45,205.75,209.30,36000,206.32
2014-02-27,211.40,211.40,211.40,211.40,000,208.39
2014-02-26,220.00,220.00,210.50,211.40,50400,208.39
2014-02-25,219.50,225.10,218.10,218.75,150100,215.63
2014-02-24,215.40,221.35,214.60,217.55,148100,214.45
2014-02-21,212.75,217.50,211.15,214.25,145200,211.20
2014-02-20,207.90,217.50,206.00,211.15,300500,208.14
2014-02-19,197.00,212.70,197.00,207.55,251500,204.59
2014-02-18,199.85,200.00,196.20,197.05,29500,194.24
2014-02-17,198.00,201.60,195.50,197.50,30700,194.69
2014-02-14,198.00,202.70,195.40,196.85,176800,194.05
2014-02-13,198.00,201.70,191.55,198.15,56700,195.33
2014-02-12,196.00,203.50,195.00,196.55,124500,193.75
2014-02-11,183.00,199.80,181.90,195.55,326000,192.76
2014-02-10,181.50,184.50,181.20,182.25,13000,179.65
2014-02-07,185.15,185.90,179.00,179.85,25200,177.29
2014-02-06,180.40,185.85,180.40,184.10,60600,181.48
2014-02-05,173.90,184.00,171.35,179.05,111400,176.50
2014-02-04,171.40,174.95,167.70,173.30,30800,170.83
2014-02-03,174.15,177.00,172.10,173.40,28700,170.93
2014-01-31,173.50,177.10,172.40,173.55,28000,171.08
2014-01-30,174.10,175.05,171.50,172.40,22200,169.94
2014-01-29,176.10,182.00,175.65,176.60,28700,174.08
2014-01-28,175.70,178.10,171.50,174.95,33500,172.46
2014-01-27,180.10,180.10,172.10,173.90,42000,171.42
2014-01-24,190.60,190.60,180.00,181.05,62300,178.47
2014-01-23,180.60,195.80,179.15,188.65,531900,185.96
2014-01-22,179.45,183.00,178.10,179.00,49000,176.45
2014-01-21,180.55,183.00,178.90,179.80,51300,177.24
