Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2015,934.00,966.50,896.10,928.45,940.689507186266885566,69438,8016,65319598.00,9303,13.40,70.40,-5.55
27-January-2015,896.00,937.85,885.00,933.90,924.036472819216182048,31640,3599,29236514.00,7396,23.38,52.85,37.90
23-January-2015,905.00,905.90,890.55,896.20,897.648003362757461118,11895,1582,10677523.00,4793,40.29,15.35,-8.80
22-January-2015,860.70,930.05,860.70,892.75,905.126336972715750150,89942,10880,81408873.00,11124,12.37,69.35,32.05
21-January-2015,863.55,872.35,855.10,858.45,862.059725467289719626,6848,1073,5903385.00,2290,33.44,17.25,-5.10
20-January-2015,873.05,873.75,847.00,857.75,857.905992949471210340,7659,1165,6570702.00,3518,45.93,26.75,-15.30
19-January-2015,876.00,886.60,870.15,873.10,877.318649748623413933,8354,578,7329120.00,5771,69.08,16.45,-2.90
16-January-2015,870.00,894.00,863.75,876.15,881.287653239929947460,13704,1826,12077166.00,2938,21.44,30.25,6.15
15-January-2015,880.00,890.00,862.00,867.70,878.615624973489914856,353639,1964,310712751.00,339052,95.88,28.00,-12.30
14-January-2015,861.00,895.00,842.00,884.95,872.345935790462507597,90485,7069,78934222.00,20399,22.54,53.00,23.95
13-January-2015,808.90,866.00,808.50,856.25,843.107917948952625015,87409,7634,73695220.00,16640,19.04,57.50,47.35
12-January-2015,775.00,822.00,775.00,803.45,808.267856065329766478,49717,5114,40184653.00,11603,23.34,47.00,28.45
9-January-2015,764.25,772.40,763.00,767.75,767.880934051834744675,3897,733,2992432.00,1567,40.21,9.40,3.50
8-January-2015,770.00,780.70,757.70,760.85,765.391118701964133219,4684,896,3585092.00,1338,28.57,23.00,-9.15
7-January-2015,759.70,768.25,756.25,765.40,764.020568475452196382,9675,1001,7391899.00,4525,46.77,12.00,5.70
6-January-2015,790.00,790.00,756.70,759.25,766.622749904251244733,7833,900,6004956.00,3535,45.13,33.30,-30.75
5-January-2015,805.50,805.50,777.90,781.25,782.155230253125953034,3279,482,2564687.00,1350,41.17,27.60,-24.25
2-January-2015,790.85,794.65,778.20,782.25,787.538148064297034186,4417,542,3478556.00,1999,45.26,16.45,-8.60
1-January-2015,789.00,799.00,783.15,793.65,790.567535545023696682,1688,238,1334478.00,725,42.95,15.85,4.65
31-December-2014,787.00,795.00,783.00,788.75,790.049519807923169267,3332,520,2632445.00,1683,50.51,12.00,1.75
30-December-2014,787.05,791.80,775.00,789.35,785.829381351399536459,5609,685,4407717.00,2200,39.22,16.80,2.30
29-December-2014,772.30,793.75,771.30,790.20,788.609232824108857166,11979,1513,9446750.00,3346,27.93,22.45,17.90
26-December-2014,778.00,780.00,758.50,769.05,769.611658456486042692,4872,627,3749548.00,1038,21.31,21.50,-8.95
24-December-2014,781.50,790.00,767.00,776.15,779.309421710365106591,16324,1617,12721447.00,2959,18.13,23.00,-5.35
23-December-2014,775.00,799.50,774.60,781.95,782.065100977140456118,111857,3766,87479456.00,77354,69.15,24.90,6.95
22-December-2014,740.30,792.10,740.30,770.00,764.724146197307674821,241947,3825,185022713.00,213218,88.13,51.80,29.70
19-December-2014,741.65,747.80,735.35,744.15,742.481325207063603688,6399,1030,4751138.00,2659,41.55,12.45,2.50
18-December-2014,749.35,756.00,736.00,738.55,744.162374599234667494,9669,1312,7195306.00,3931,40.66,20.00,-10.80
17-December-2014,712.40,739.80,705.00,733.95,721.855431267560833377,18863,2255,13616359.00,6778,35.93,34.80,21.55
16-December-2014,727.00,743.10,709.00,713.70,731.755305867665418227,24030,2355,17584080.00,7689,32.00,34.10,-13.30
15-December-2014,745.20,757.90,725.10,737.20,738.387721188227743650,87256,2401,64428759.00,80114,91.81,32.80,-8.00
12-December-2014,715.40,745.00,712.00,739.00,737.822149772114840813,30059,1557,22178196.00,23200,77.18,33.00,23.60
11-December-2014,729.00,729.00,710.05,712.60,717.077387693469233673,7947,987,5698614.00,3903,49.11,18.95,-16.40
10-December-2014,729.00,735.00,719.15,730.50,729.468840030326004548,6595,717,4810847.00,3212,48.70,15.85,1.50
9-December-2014,768.00,768.00,722.50,727.30,741.714325003928964325,25452,2102,18878113.00,12567,49.38,45.50,-40.70
8-December-2014,780.00,788.65,766.20,767.30,773.456962025316455696,5530,1167,4277217.00,2410,43.58,22.45,-12.70
5-December-2014,779.00,784.20,773.20,776.40,779.326791735108498314,23134,754,18028946.00,20061,86.72,11.00,-2.60
4-December-2014,771.00,796.00,771.00,777.25,783.027783177812337998,123456,4823,96669478.00,110864,89.80,25.00,6.25
3-December-2014,757.65,773.90,751.00,770.00,769.378106083408581652,119604,1368,92020699.00,113976,95.29,22.90,12.35
2-December-2014,771.00,771.00,753.00,758.75,759.008108506560518944,6783,972,5148352.00,3447,50.82,18.00,-12.25
1-December-2014,779.00,789.30,769.00,771.30,775.603025347506132461,4892,821,3794250.00,3013,61.59,20.30,-7.70
28-November-2014,777.00,780.00,770.10,772.60,773.399867593512082092,3021,603,2336441.00,1610,53.29,9.90,-4.40
27-November-2014,780.15,785.00,769.00,778.25,776.785054678007290400,8230,988,6392941.00,4032,48.99,16.00,-1.90
26-November-2014,785.00,790.00,776.50,778.25,782.877047410469169314,32419,730,25380091.00,30248,93.30,13.50,-6.75
25-November-2014,783.40,789.00,777.35,782.75,782.756708448517438557,132035,1315,103351282.00,128890,97.62,11.65,-0.65
24-November-2014,775.00,788.25,775.00,779.90,779.851703406813627254,2495,610,1945730.00,1321,52.95,13.25,4.90
21-November-2014,783.75,788.55,769.80,775.25,779.533432392273402674,5384,777,4197008.00,2577,47.86,18.75,-8.50
20-November-2014,805.00,805.00,770.10,780.30,781.063272028547900082,7286,1317,5690827.00,3421,46.95,34.90,-24.70
19-November-2014,797.65,803.80,794.00,799.10,799.711932418162618796,4735,486,3786636.00,3139,66.29,9.80,1.45
18-November-2014,802.20,806.90,792.00,797.45,798.762669962917181705,1618,282,1292398.00,704,43.51,14.90,-4.75
17-November-2014,804.00,809.20,792.00,799.80,801.243322525860737995,6477,722,5189653.00,2655,40.99,17.20,-4.20
14-November-2014,798.00,803.45,791.00,795.40,798.208981202135066140,8618,1475,6878965.00,3539,41.07,12.45,-2.60
13-November-2014,784.75,799.00,780.00,788.85,790.509068677399633177,9814,1115,7758056.00,3101,31.60,19.00,4.10
12-November-2014,777.00,788.15,755.50,781.70,777.330724525377760557,12905,1425,10031453.00,5884,45.59,32.65,4.70
11-November-2014,784.00,791.50,779.00,779.15,782.628482972136222910,3230,556,2527890.00,2135,66.10,12.50,-4.85
10-November-2014,799.15,800.00,779.00,784.05,787.987630208333333333,6144,837,4841396.00,3170,51.60,21.00,-15.10
7-November-2014,793.00,802.00,790.65,793.90,797.122351332877648667,4389,647,3498570.00,1629,37.12,11.35,0.90
5-November-2014,809.90,809.90,792.10,799.25,800.958042932812935600,7174,901,5746073.00,2700,37.64,17.80,-10.65
3-November-2014,816.20,816.20,789.30,799.90,798.884233043915943123,7947,916,6348733.00,3224,40.57,26.90,-16.30
31-October-2014,805.05,824.50,805.00,810.10,816.432713464404854851,28178,2939,23005441.00,10277,36.47,19.50,5.05
30-October-2014,784.70,810.95,772.10,801.00,798.787725618986075579,112967,8035,90236653.00,33117,29.32,38.85,16.30
29-October-2014,765.00,769.95,738.00,759.40,755.051781030544039258,23638,3121,17847914.00,2947,12.47,31.95,-5.60
28-October-2014,769.10,775.00,756.20,759.20,763.392905634758995247,5892,618,4497911.00,3522,59.78,18.80,-9.90
27-October-2014,780.00,792.65,766.05,773.60,781.632003395585738539,4712,633,3683050.00,1388,29.46,26.60,-6.40
23-October-2014,784.00,790.40,777.15,780.45,783.064349621472814865,2906,494,2275585.00,1520,52.31,13.25,-3.55
22-October-2014,755.90,784.40,754.45,779.85,771.541765531935499491,20651,2221,15933109.00,5922,28.68,29.95,23.95
21-October-2014,735.00,775.00,723.00,767.75,755.984118904611625776,39292,3022,29704128.00,12569,31.99,52.00,32.75
20-October-2014,750.00,759.20,735.00,742.80,744.569379003652919688,18889,1806,14064171.00,5906,31.27,24.20,-7.20
17-October-2014,700.10,747.90,700.10,738.55,729.822390065335248598,43162,3113,31500594.00,13408,31.06,47.80,38.45
16-October-2014,677.30,715.65,662.95,696.50,700.103939056112969156,26910,3175,18839797.00,6660,24.75,52.70,19.20
14-October-2014,711.80,723.00,661.00,675.45,686.518034311699049193,19352,1743,13285497.00,9022,46.62,62.00,-36.35
13-October-2014,699.00,734.75,699.00,702.55,718.721683299602205317,28658,3219,20597126.00,5402,18.85,35.75,3.55
10-October-2014,695.50,703.95,695.00,697.15,698.084485868911605532,3326,384,2321829.00,1676,50.39,8.95,1.65
9-October-2014,695.00,704.40,693.00,697.40,699.587157894736842105,4750,692,3323039.00,1866,39.28,11.40,2.40
8-October-2014,695.55,706.70,681.85,689.95,699.091629392971246006,7825,1056,5470392.00,3663,46.81,24.85,-5.60
7-October-2014,690.00,706.80,688.00,694.85,699.461244749904543718,5238,774,3663778.00,1988,37.95,18.80,4.85
1-October-2014,700.90,703.55,690.00,694.65,695.898141929706738303,4467,794,3108577.00,2411,53.97,13.55,-6.25
30-September-2014,689.80,705.00,689.80,697.40,700.501999384804675484,6502,988,4554664.00,1784,27.44,15.20,7.60
29-September-2014,682.30,707.90,672.00,694.15,692.998544678373920636,10307,1315,7142736.00,4019,38.99,35.90,11.85
26-September-2014,700.00,700.90,681.00,689.90,689.642255892255892255,4752,700,3277180.00,2138,44.99,19.90,-10.10
25-September-2014,696.85,698.60,680.00,695.30,691.808647798742138364,6360,712,4399903.00,1948,30.63,18.60,-1.55
24-September-2014,670.10,702.80,665.30,697.85,683.411544055729924213,13063,1660,8927405.00,6644,50.86,37.50,27.75
23-September-2014,676.00,677.00,665.00,669.35,669.780798925814031554,5958,1032,3990554.00,3091,51.88,12.00,-6.65
22-September-2014,689.75,693.60,671.65,678.55,682.619548663990031842,7223,1118,4930561.00,2866,39.68,21.95,-11.20
19-September-2014,716.15,716.15,674.00,688.65,689.569348659003831417,11745,1824,8098992.00,3808,32.42,42.15,-27.50
18-September-2014,713.80,719.50,700.00,711.20,713.977606717984604618,2858,426,2040548.00,1272,44.51,19.50,-2.60
17-September-2014,725.00,727.00,685.00,708.45,701.394405897658282740,4612,777,3234831.00,1304,28.27,42.00,-16.55
16-September-2014,710.00,725.65,701.00,713.60,719.476634397035974662,8367,1362,6019861.00,3583,42.82,24.65,3.60
15-September-2014,715.00,723.20,707.50,716.35,716.144852479598242310,6372,892,4563275.00,2496,39.17,15.70,1.35
12-September-2014,712.50,724.00,705.30,715.05,712.160056657223796033,12002,1097,8547345.00,7227,60.21,18.70,2.55
11-September-2014,693.60,717.20,692.45,713.20,707.772374379987060599,9274,1136,6563881.00,4521,48.75,24.75,19.60
10-September-2014,695.00,704.90,686.45,692.95,695.112240982348426707,5212,825,3622925.00,2392,45.89,18.45,-2.05
9-September-2014,685.65,713.50,685.00,701.50,704.315165423599158538,5229,755,3682864.00,2567,49.09,28.50,15.85
8-September-2014,704.05,708.80,688.65,695.30,696.517916759403516581,4493,571,3129455.00,1724,38.37,20.15,-8.75
5-September-2014,705.00,720.00,675.15,697.30,709.694774651500897973,35079,2675,24895383.00,13327,37.99,44.85,-7.70
4-September-2014,680.00,704.00,680.00,699.45,693.412256389952047864,22731,1348,15761954.00,13809,60.75,24.00,19.45
3-September-2014,681.00,695.00,679.20,687.95,687.423544315675878571,21313,2333,14651058.00,7843,36.80,15.80,6.95
2-September-2014,662.30,682.00,662.30,675.45,674.399171352471145309,16895,1384,11393974.00,9920,58.72,19.70,13.15
1-September-2014,655.00,670.00,655.00,662.00,663.568264865463403831,18062,1982,11985370.00,10956,60.66,15.00,7.00
28-August-2014,645.10,664.40,645.10,653.30,656.369977956339330157,14063,1874,9230531.00,6270,44.59,19.30,8.20
27-August-2014,670.00,673.85,646.75,656.95,659.661391115337590001,14722,1705,9711535.00,4603,31.27,27.10,-13.05
26-August-2014,650.00,673.95,648.95,669.25,661.694432061340941512,44864,3820,29686259.00,12172,27.13,25.00,19.25
25-August-2014,608.00,656.00,608.00,643.55,641.364273166447079490,45540,4136,29207729.00,17515,38.46,48.00,35.55
22-August-2014,614.90,618.00,601.20,606.95,607.620275837363424682,5583,805,3392344.00,3006,53.84,16.80,-7.95
21-August-2014,620.00,625.95,610.35,617.35,619.157518296739853626,6012,897,3722375.00,2967,49.35,15.60,-2.65
20-August-2014,623.00,628.00,611.00,613.75,615.520119436940139343,7033,882,4328953.00,2293,32.60,17.00,-9.25
19-August-2014,613.00,631.85,612.20,618.10,621.758315861052870176,17647,2002,10972169.00,6863,38.89,19.65,5.10
18-August-2014,605.00,615.00,587.00,609.40,607.662310698583292623,16376,1650,9951078.00,6066,37.04,28.00,4.40
14-August-2014,594.40,602.00,589.20,599.25,595.475284288698073799,12927,1018,7697709.00,4679,36.20,12.80,4.85
13-August-2014,580.00,593.70,572.50,587.80,582.489358200767964893,18230,1911,10618781.00,5986,32.84,21.20,7.80
12-August-2014,570.00,584.15,567.50,579.95,576.482262644553273797,48598,3586,28015885.00,15089,31.05,16.65,9.95
11-August-2014,551.70,565.00,545.00,561.25,556.555747181942355716,72479,3371,40338604.00,43156,59.54,20.00,9.55
8-August-2014,529.25,537.00,529.00,535.50,535.248323754789272030,25056,1136,13411182.00,15696,62.64,8.00,6.25
7-August-2014,538.50,542.20,532.50,533.55,536.297760111523463255,53083,859,28468294.00,48467,91.30,9.70,-4.95
6-August-2014,538.70,543.00,533.00,534.65,539.940840721420384102,42749,930,23081931.00,37026,86.61,10.00,-4.05
5-August-2014,532.00,542.50,530.00,537.00,539.814654146003085301,96587,2954,52139078.00,87816,90.92,12.50,5.00
4-August-2014,538.50,540.90,528.20,531.55,531.819018725808138926,9559,581,5083658.00,8037,84.08,12.70,-6.95
1-August-2014,536.50,544.10,530.00,536.30,538.256756756756756756,6290,798,3385635.00,3739,59.44,14.10,-0.20
31-July-2014,540.00,548.30,536.75,541.10,541.305616833531308331,11786,1053,6379828.00,8036,68.18,11.55,1.10
30-July-2014,541.00,546.00,537.10,539.75,541.780195048762190547,6665,972,3610965.00,3440,51.61,8.90,-1.25
28-July-2014,548.75,552.00,535.10,543.40,543.137876802096985583,7630,1044,4144142.00,2876,37.69,16.90,-5.35
25-July-2014,535.00,559.95,530.85,552.45,549.437194733489063495,18836,1954,10349199.00,8669,46.02,29.10,17.45
24-July-2014,538.00,539.45,526.10,534.00,531.852667063255998413,5043,599,2682133.00,1594,31.61,13.35,-4.00
23-July-2014,535.30,544.90,535.30,540.30,541.171215880893300248,6045,1061,3271380.00,3090,51.12,9.60,5.00
22-July-2014,536.70,542.00,534.50,539.70,538.718658135915614732,5783,679,3115410.00,2008,34.72,7.50,3.00
21-July-2014,549.00,565.00,530.00,532.45,539.398639041235019297,9846,1166,5310919.00,4477,45.47,35.00,-16.55
18-July-2014,540.00,563.00,538.00,548.55,551.076790488251020121,28428,3096,15666011.00,7624,26.82,25.00,8.55
17-July-2014,516.05,575.90,514.20,539.65,551.395652653646695354,45315,5118,24986494.00,11069,24.43,61.70,23.60
16-July-2014,521.15,521.15,513.55,514.90,515.795507721104351895,2137,359,1102255.00,1401,65.56,7.60,-6.25
15-July-2014,518.40,522.80,512.40,519.10,517.248860182370820668,2632,400,1361399.00,1191,45.25,10.40,0.70
14-July-2014,522.00,529.60,508.15,514.10,516.981280788177339901,4060,510,2098944.00,1454,35.81,21.45,-7.90
11-July-2014,522.50,528.20,510.00,520.95,517.102787175769292734,6207,818,3209657.00,2897,46.67,18.20,-1.55
10-July-2014,518.10,518.20,504.00,515.15,511.492644757433489827,9585,1336,4902657.00,4980,51.96,14.20,-2.95
9-July-2014,519.95,520.85,503.50,515.85,513.865797731112720251,8286,998,4257892.00,3512,42.38,17.35,-4.10
8-July-2014,531.00,537.80,512.00,514.75,517.342066284021477504,10802,1707,5588329.00,5847,54.13,25.80,-16.25
7-July-2014,545.20,548.85,530.50,532.75,540.908044138813369582,6253,1565,3382298.00,3342,53.45,18.35,-12.45
4-July-2014,545.00,554.50,540.65,543.40,547.659577425632471504,14388,1730,7879726.00,5898,40.99,13.85,-1.60
3-July-2014,544.80,551.00,536.10,541.65,542.332179300291545189,5488,607,2976319.00,2569,46.81,14.90,-3.15
2-July-2014,515.00,548.00,515.00,538.10,532.996917896917896917,38610,3119,20579011.00,16258,42.11,33.00,23.10
1-July-2014,513.00,531.35,509.50,510.65,517.195865216807625184,29796,1883,15410368.00,13806,46.34,21.85,-2.35
